id,source_wsi,dataset,i,j
0067d5ad2250,2,1,23552,22528
06b972c417e7,2,1,17920,22016
0754412b2917,2,1,16896,22016
07bdbe578ded,2,1,23040,22016
097dd2ed6c14,2,1,23040,23040
0a43459733e7,2,1,24064,23040
0a5be90855e3,2,1,18944,22528
0acd70e887b3,2,1,16896,21504
0b849dde56be,2,1,22528,22016
0b89ab7f9f07,2,1,16384,23040
0c3086bd8efb,2,1,25600,20992
0e6eeb39d8f6,2,1,15872,21504
0f5b52a768e2,2,1,28160,21504
103906a73e6d,2,1,25600,22016
11128ba6d78c,2,1,21504,21504
1423b40ad0dc,2,1,20992,21504
1b12cccdfdd2,2,1,23552,22016
1e2fd6c2950d,2,1,22016,22528
212fc627af24,2,1,21504,22528
2320eefd8bec,2,1,17920,21504
26abe884958b,2,1,27648,21504
274aa4b29a70,2,1,19456,21504
27661a87f456,2,1,29184,23552
2a127f0ae506,2,1,27136,23552
2a4cc81cc5d6,2,1,19456,20992
2a9e6a294e2b,2,1,16384,22528
2ad1b19b87df,2,1,24064,22528
2c5bd755f831,2,1,25600,21504
2c6d2cc31d81,2,1,17408,22528
2feddbc54e20,2,1,20480,23552
3088c3e5378e,2,1,24576,23552
327dcb16a7ef,2,1,27648,22528
32cf613e3c11,2,1,16384,21504
32e007559fb4,2,1,18432,22528
331c34551d3d,2,1,17920,23040
3378fe495259,2,1,26112,23040
3879b8c84baf,2,1,25600,23552
3e01bb974a1b,2,1,22016,20992
3e7e6fa84e33,2,1,24064,22016
43c6095181fd,2,1,25600,23040
4499a0dc7101,2,1,20992,22528
44c66d51c40e,2,1,19968,21504
465022519f3f,2,1,24576,21504
47536b25b615,2,1,22016,23040
47c4970bf049,2,1,16384,23552
484656371e88,2,1,17920,20992
4865588b8b4c,2,1,19968,20992
4b71f2e1d1ba,2,1,19456,22528
4ba8d55f7acb,2,1,23040,20992
4ca084aec87b,2,1,17408,22016
50dc42c72b45,2,1,21504,23552
51a2ad418b22,2,1,28160,23040
5232ba7fa001,2,1,15872,22528
54415c6dfda4,2,1,26624,23040
5575d4cb055f,2,1,27136,22528
55cab2c9c13a,2,1,27648,20992
5790b15dde35,2,1,23040,22528
5aae1d92e0af,2,1,22528,23552
5ab182e75656,2,1,27136,20992
5b264302144d,2,1,20480,21504
5bcde6ec2e82,2,1,18944,23040
5de1d0bea7fe,2,1,25600,22528
5ea525251225,2,1,28672,23552
602d24899028,2,1,29696,23552
611599949a53,2,1,18432,22016
61409556c001,2,1,22016,23552
61f8b27a48e6,2,1,25088,22016
651281290617,2,1,25088,21504
652bd8e1cb00,2,1,23552,20992
65e7ca00c422,2,1,20480,22528
66bc46f89c87,2,1,29184,22528
67a7395eef7d,2,1,21504,23040
68600400d70b,2,1,24064,23552
68e0e9974b36,2,1,22528,23040
68fad6106167,2,1,19456,23552
6a5db683c6e5,2,1,24576,22016
6aa29be63071,2,1,20992,23552
6ba7c5991bf9,2,1,25088,23040
73d99bec414b,2,1,23552,21504
7a115ea6545e,2,1,26624,22528
7e97ecdac5d2,2,1,16896,22528
7ed2263d8989,2,1,16384,22016
7fc91238e6f8,2,1,25088,20992
8254e9f1af65,2,1,17408,21504
84d81e7b03c1,2,1,20992,23040
866cff076c29,2,1,19456,23040
8d24ea45c6b6,2,1,22016,22016
8d60ccc783c1,2,1,29184,23040
8f4c08f55c0f,2,1,18944,21504
90fae0cae5bd,2,1,18432,20992
911b753ffe47,2,1,22528,20992
912ebd02ee50,2,1,15872,22016
91ba77e94fd3,2,1,27648,23552
92394add7fb2,2,1,30208,23552
939c99c1e09a,2,1,27648,23040
96c2d15e0fa1,2,1,26112,23552
97dce4548ae2,2,1,20992,20992
9abb800898c5,2,1,26112,22528
9ba29448632b,2,1,27136,22016
9f64d430a4cf,2,1,17920,22528
a26531b79940,2,1,24576,20992
a2c83aa5cf1f,2,1,18432,23552
a36f233f5953,2,1,18944,23552
a373ae26f4f0,2,1,19968,22016
a3926b1211d3,2,1,28160,23552
a65fdd745f6f,2,1,17920,23552
