id,source_wsi,dataset,i,j
0033bbc76b6b,1,1,10240,43008
00656c6f2690,1,1,10240,46080
00d75ad65de3,1,1,8192,39424
00da70813521,1,1,10240,46592
0596bfb19322,1,1,7680,40448
072f5307f243,1,1,8192,45056
093a52e9bc1d,1,1,9216,40448
0a10b8716b30,1,1,10752,46592
0e8aed930dc6,1,1,8704,44032
1222b4306c01,1,1,8704,39424
130d4d323ce4,1,1,10240,39424
13aa34ced90d,1,1,10752,45056
15ed954c0cdf,1,1,7168,41472
19551df15a1e,1,1,7168,43008
1a54cda8f32d,1,1,8704,40448
1a785cc0d167,1,1,7680,38400
1bd726055ad8,1,1,9728,40448
1c6c39a22324,1,1,9216,39424
1e14b9acc9b9,1,1,9216,39936
2136df4a5aeb,1,1,10752,43520
21acb908cf67,1,1,7168,43520
2321d0fb53f7,1,1,10240,39936
2405b58d5b61,1,1,8704,43520
2519a0f1b867,1,1,9216,46080
25b98e7aea78,1,1,9728,42496
26b7c381eb73,1,1,10240,43520
27ac6c438f3b,1,1,9216,43008
2d0c1b760913,1,1,7168,42496
303b72a38e29,1,1,7168,44032
31195284c86e,1,1,8192,40960
32d912178fdd,1,1,9216,43520
34bfda589476,1,1,9728,39424
352777709276,1,1,8704,45568
359bb86fa14f,1,1,9216,45568
37cac808f375,1,1,10752,44544
3901bf683fc0,1,1,8192,44544
3c18fbcff68b,1,1,10752,39936
3c232223b2d0,1,1,9728,43520
3d5f53402137,1,1,7680,41984
3e248be7dd4c,1,1,9216,44544
41225437e33e,1,1,7680,38912
484301f61207,1,1,8704,38400
4a8a791a23cb,1,1,9216,41984
4eef9950c417,1,1,8192,43520
51551e6feeb1,1,1,9216,46592
54b61f30d4ec,1,1,7680,44032
55f4ccb3f710,1,1,10752,40960
5ac25a1e40dd,1,1,10240,38400
5c48013d4c6d,1,1,9216,41472
5ed19b1b6f88,1,1,10752,38912
5f9afd2ee26d,1,1,9216,44032
60649906e443,1,1,9728,45056
62bc683d8c8a,1,1,9728,45568
6443bced36cd,1,1,10240,44544
64a7e1b01c32,1,1,9216,38400
65a235166914,1,1,9728,38912
664fdc3e5dca,1,1,7168,40960
6932d1e4a62b,1,1,7168,45056
6a4d868ab872,1,1,10240,41984
6b0fd03dfafe,1,1,8192,41984
71bf4443c163,1,1,9216,40960
758c0b61f9db,1,1,9728,40960
77c7c3714f08,1,1,7680,45568
7b521f53df5b,1,1,7680,39424
7d0038b7076a,1,1,9728,43008
8182a03edd17,1,1,7168,38912
8533ba9bc160,1,1,8192,39936
881186005e82,1,1,10752,44032
88e8fbbc2b4e,1,1,10240,40960
891613413e69,1,1,9728,41472
8a6e6fb756da,1,1,10752,40448
8abfc630ccdd,1,1,10240,38912
8f256d18b5e4,1,1,8704,39936
91101158fefd,1,1,7680,45056
91170b600f70,1,1,7168,40448
9227f6ede08f,1,1,7168,39936
936f9bfb3966,1,1,8704,43008
9596b376c210,1,1,7168,44544
9a2004e16035,1,1,10240,41472
a4b58c23d4c6,1,1,7168,39424
a977353c25d6,1,1,7680,43008
aa5761ee8eda,1,1,10752,41984
ac68833641fe,1,1,8192,43008
ac6d05ce6dd1,1,1,7680,42496
ac8f685801d0,1,1,8192,45568
b20773efe051,1,1,9728,41984
b454fe1b98f8,1,1,9216,38912
b6395d5c113f,1,1,10752,45568
bb488d9b931e,1,1,8704,38912
bc995681dd54,1,1,10240,42496
bd090bb1b654,1,1,7680,39936
bd4bbe103c24,1,1,9728,46080
bf96591278cd,1,1,10240,45056
c1a16cb3923b,1,1,8192,46080
c7d49f3f1ae3,1,1,7168,38400
c9455a06321d,1,1,7680,41472
c9dc3cfc0567,1,1,8704,41984
ca57af0413ac,1,1,8192,44032
cbbdc5d83ec9,1,1,7680,44544
cbc4758c8c53,1,1,8704,42496
cd4b698ac682,1,1,9216,45056
ce27b0613895,1,1,7168,46080
cfe02239d1c7,1,1,10240,45568
d1d485660263,1,1,9728,44032
d4e99e162f37,1,1,8704,44544
d6d79e965902,1,1,8704,45056
d6f0f1f4a7dc,1,1,8192,38400
d92dc34cd8f2,1,1,10752,43008
da2863316247,1,1,8704,46080
db20b95a3ab9,1,1,8192,42496
e2c1ebfddb4a,1,1,9728,44544
e4c6313913c3,1,1,9728,38400
e506a133c873,1,1,8192,40448
e5ac1caaadd8,1,1,9216,42496
e63d156bc72f,1,1,8192,41472
e72945522a29,1,1,10240,40448
e7dd45905a5f,1,1,8704,41472
e8a183610034,1,1,10752,46080
e95c2881d1dc,1,1,7680,46080
eaa85fa2b857,1,1,8192,38912
ef7f5d12b1ff,1,1,7168,45568
f0c2afc5fb05,1,1,8704,40960
f21ab98d3572,1,1,7168,41984
f40804ea84e6,1,1,7680,43520
f6b0c55c34c7,1,1,9728,39936
fc6def641612,1,1,7680,40960
fe248458ea89,1,1,10240,44032
