id,source_wsi,dataset,i,j
06b972c417e7,2,1,17920,22016
0754412b2917,2,1,16896,22016
0a5be90855e3,2,1,18944,22528
0acd70e887b3,2,1,16896,21504
0b89ab7f9f07,2,1,16384,23040
0e6eeb39d8f6,2,1,15872,21504
11128ba6d78c,2,1,21504,21504
1423b40ad0dc,2,1,20992,21504
1e2fd6c2950d,2,1,22016,22528
212fc627af24,2,1,21504,22528
2320eefd8bec,2,1,17920,21504
274aa4b29a70,2,1,19456,21504
2a4cc81cc5d6,2,1,19456,20992
2a9e6a294e2b,2,1,16384,22528
2c6d2cc31d81,2,1,17408,22528
2feddbc54e20,2,1,20480,23552
32cf613e3c11,2,1,16384,21504
32e007559fb4,2,1,18432,22528
331c34551d3d,2,1,17920,23040
3e01bb974a1b,2,1,22016,20992
4499a0dc7101,2,1,20992,22528
44c66d51c40e,2,1,19968,21504
47536b25b615,2,1,22016,23040
47c4970bf049,2,1,16384,23552
484656371e88,2,1,17920,20992
4865588b8b4c,2,1,19968,20992
4b71f2e1d1ba,2,1,19456,22528
4ca084aec87b,2,1,17408,22016
50dc42c72b45,2,1,21504,23552
5232ba7fa001,2,1,15872,22528
5b264302144d,2,1,20480,21504
5bcde6ec2e82,2,1,18944,23040
611599949a53,2,1,18432,22016
61409556c001,2,1,22016,23552
65e7ca00c422,2,1,20480,22528
67a7395eef7d,2,1,21504,23040
68fad6106167,2,1,19456,23552
6aa29be63071,2,1,20992,23552
7e97ecdac5d2,2,1,16896,22528
7ed2263d8989,2,1,16384,22016
8254e9f1af65,2,1,17408,21504
84d81e7b03c1,2,1,20992,23040
866cff076c29,2,1,19456,23040
8d24ea45c6b6,2,1,22016,22016
8f4c08f55c0f,2,1,18944,21504
90fae0cae5bd,2,1,18432,20992
912ebd02ee50,2,1,15872,22016
97dce4548ae2,2,1,20992,20992
9f64d430a4cf,2,1,17920,22528
a2c83aa5cf1f,2,1,18432,23552
a36f233f5953,2,1,18944,23552
a373ae26f4f0,2,1,19968,22016
a65fdd745f6f,2,1,17920,23552
a88bead7ca59,2,1,17408,20992
abe8e23f130b,2,1,22016,21504
ad4cabec2278,2,1,21504,22016
b2e28a0849fb,2,1,18432,21504
b5e5e2970afb,2,1,15872,20992
b9026c35238c,2,1,15872,23040
bdf18b8fa3ed,2,1,20992,22016
be16177671b1,2,1,19968,23040
c72da07dc0ee,2,1,15872,23552
c864a708f66a,2,1,20480,23040
c9a0f19e04c5,2,1,16384,20992
ccb2255e294d,2,1,18432,23040
d2378fe9bcbd,2,1,17408,23040
d74fdf0b9924,2,1,21504,20992
da774b6f9cd1,2,1,19456,22016
db8391d91d8d,2,1,17408,23552
e0072029e135,2,1,18944,22016
e65fc78aa66a,2,1,20480,20992
e72ed3bd99b5,2,1,16896,23040
e93185008c33,2,1,20480,22016
f38f2f72a1b7,2,1,19968,23552
f73b7aca41d4,2,1,18944,20992
f86347534ec1,2,1,16896,20992
